영화제목,유통회사명,개봉일,총스크린수,관람인원수,장르,등급,네이버_평점,구글_평점,씨네21_평점,개봉년도,개봉월
우당탕탕 캠핑가족,(주)라온컴퍼니플러스,2021-02-01,1,60,코미디,12세이상관람가,0.0,,,2021,2
홀리데이 헬,(주)라온컴퍼니플러스,2021-02-01,1,60,공포(호러),15세이상관람가,0.0,,,2021,2
아이 엠 우먼,(주)팝엔터테인먼트,2021-01-01,494,59,드라마,15세이상관람가,9.43,4.4,6.0,2021,1
음악,(주)미디어캐슬,2021-01-01,1,53,애니메이션,12세이상관람가,,,,2021,1
방황하는 네덜란드인,(주)케빈앤컴퍼니,2021-02-01,7,51,공연,12세이상관람가,0.0,,,2021,2
장 미쉘 바스키아: 더 레이디언트 차일드,롯데컬처웍스(주)롯데엔터테인먼트,2020-12-01,18,51,다큐멘터리,12세이상관람가,9.0,,,2020,12
크루아상,하준사,2021-01-01,42,49,드라마,12세이상관람가,9.8,,3.5,2021,1
남매의 여름밤,그린나래미디어(주),2020-08-01,133,42,드라마,전체관람가,9.07,,7.83,2020,8
도굴,(주)씨제이이엔엠,2020-11-01,1635,38,범죄,12세이상관람가,0.0,4.7,5.0,2020,11
라스트 특공대,(주)제이앤씨미디어그룹,2021-02-01,5,38,전쟁,15세이상관람가,8.67,3.5,,2021,2
미스터 존스,(주)디오시네마,2021-01-01,277,38,드라마,15세이상관람가,,4.5,5.5,2021,1
겨울밤에,㈜인디스토리,2020-12-01,49,36,드라마,12세이상관람가,7.84,,7.4,2020,12
피아니스트의 마지막 인터뷰,판씨네마(주),2020-11-01,55,36,드라마,전체관람가,9.03,4.4,5.5,2020,11
가나의 혼인잔치: 언약,"(재)CBS,주식회사 블루필름웍스",2020-11-01,116,35,다큐멘터리,전체관람가,9.54,,4.0,2020,11
찬실이는 복도 많지,찬란,2020-03-01,241,34,드라마,전체관람가,9.16,,7.0,2020,3
라스트 프론티어,(주)까멜리아이엔티,2021-01-01,20,30,전쟁,15세이상관람가,8.22,4.7,5.0,2021,1
빛의 아버지: 파이널 판타지 XIV,(주)디스테이션,2021-01-01,98,28,드라마,전체관람가,9.23,,6.0,2021,1
완벽한 가족,(주)제이앤씨미디어그룹,2021-01-01,318,24,드라마,15세이상관람가,7.26,,6.0,2021,1
귀여운 남자,(주)드림팩트엔터테인먼트,2021-01-01,41,21,코미디,15세이상관람가,5.38,,,2021,1
데스 오브 미,(주)엔케이컨텐츠,2021-02-01,1,20,공포(호러),청소년관람불가,3.67,2.2,3.0,2021,2
페이블,쇼치쿠,2021-01-01,1,20,코미디,15세이상관람가,6.63,,,2021,1
걸,(주)리틀빅픽쳐스,2021-01-01,239,19,드라마,15세이상관람가,,4.3,6.33,2021,1
나의 작은 동무,(주)라이크콘텐츠,2021-01-01,40,16,드라마,12세이상관람가,8.83,,6.33,2021,1
럭키 몬스터,(주)영화사 그램,2020-12-01,101,16,드라마,청소년관람불가,7.92,,5.5,2020,12
빅풋 주니어2: 패밀리가 떴다,(주)이수C&E,2021-01-01,308,15,애니메이션,전체관람가,9.0,3.3,6.0,2021,1
뮤직 앤 리얼리티,"(주)미로스페이스,(주)스튜디오 보난자",2020-12-01,38,13,드라마,12세이상관람가,8.8,,5.0,2020,12
금의위 3인의 무사,(유)조이앤시네마,2021-01-01,20,12,액션,15세이상관람가,0.0,,,2021,1
호프,(주)이놀미디어,2020-12-01,171,12,드라마,12세이상관람가,,,6.5,2020,12
가을의 마티네,찬란,2020-12-01,19,11,멜로/로맨스,12세이상관람가,8.9,,5.33,2020,12
언플랜드,(주)영화사오원,2020-12-01,281,10,드라마,15세이상관람가,9.62,4.1,3.5,2020,12
그리고 우린 춤을 추었다,(주)엣나인필름,2020-11-01,79,7,드라마,15세이상관람가,8.26,4.7,6.8,2020,11
레컨,주식회사 풍경소리,2021-02-01,9,7,전쟁,15세이상관람가,4.58,2.3,5.0,2021,2
로맨틱 코미디,(주)영화사 안다미로,2020-12-01,28,5,다큐멘터리,12세이상관람가,7.2,,6.0,2020,12
삼진그룹 영어토익반,롯데컬처웍스(주)롯데엔터테인먼트,2020-10-01,1615,4,드라마,12세이상관람가,9.01,,7.0,2020,10
안티고네,"그린나래미디어(주),(주)키다리이엔티",2020-11-01,130,4,드라마,15세이상관람가,8.57,,6.5,2020,11
잔칫날,(주)트리플픽쳐스,2020-12-01,240,3,드라마,12세이상관람가,9.36,,6.0,2020,12
도망친 여자,"(주)영화제작전원사 ,(주)콘텐츠판다",2020-09-01,143,2,드라마,청소년관람불가,8.07,,7.4,2020,9
뱅가드,(주)디스테이션,2020-12-01,265,2,액션,12세이상관람가,3.41,3.8,3.67,2020,12
썸머 85,찬란,2020-12-01,126,2,멜로/로맨스,15세이상관람가,8.59,,7.25,2020,12
더 허니문,주식회사 루믹스미디어,2021-02-01,1,1,SF,청소년관람불가,7.0,,,2021,2
무사: 400 vs 1,(주)콘텐트마인,2021-02-01,1,1,액션,15세이상관람가,5.14,2.5,,2021,2
어쌔신 게임,(주)퍼스트런,2021-02-01,1,1,범죄,12세이상관람가,1.33,,,2021,2
미나리,판씨네마(주),2021-03-01,1162,841966,드라마,12세이상관람가,8.32,4.3,7.57,2021,3
극장판 귀멸의 칼날: 무한열차편,워터홀컴퍼니(주),2021-01-01,380,620173,애니메이션,15세이상관람가,,4.9,6.0,2021,1
고질라 VS. 콩,워너브러더스 코리아(주),2021-03-01,1295,400883,액션,12세이상관람가,8.89,4.3,5.75,2021,3
라야와 마지막 드래곤,월트디즈니컴퍼니코리아 유한책임회사,2021-03-01,1056,303508,애니메이션,전체관람가,9.44,4.4,6.0,2021,3
소울,월트디즈니컴퍼니코리아 유한책임회사,2021-01-01,2018,157646,애니메이션,전체관람가,9.32,4.7,8.5,2021,1
미션 파서블,(주)메리크리스마스,2021-02-01,930,113421,코미디,15세이상관람가,8.41,4.8,4.5,2021,2
더 박스,(주)씨네필운,2021-03-01,372,93198,드라마,12세이상관람가,5.39,3.0,5.33,2021,3
카오스 워킹,롯데컬처웍스(주)롯데엔터테인먼트,2021-02-01,780,47051,어드벤처,15세이상관람가,7.36,3.8,5.0,2021,2
최면,(주)스마일이엔티,2021-03-01,506,44118,공포(호러),15세이상관람가,,,6.33,2021,3
톰과 제리,워너브러더스 코리아(주),2021-02-01,918,44008,애니메이션,전체관람가,8.03,4.0,7.0,2021,2
모리타니안,(주)디스테이션,2021-03-01,586,40506,스릴러,15세이상관람가,8.63,4.7,6.67,2021,3
리스타트,(주)넥스트엔터테인먼트월드(NEW),2021-03-01,529,39371,액션,15세이상관람가,,4.3,6.0,2021,3
자산어보,메가박스중앙(주)플러스엠,2021-03-01,1250,37650,사극,12세이상관람가,9.02,,7.0,2021,3
브레이브 언더 파이어,(주)박수엔터테인먼트,2021-03-01,203,14922,액션,12세이상관람가,7.5,,5.5,2021,3
몬테크리스토: 더 뮤지컬 라이브,"CGV ICECON,씨제이포디플렉스 주식회사",2021-03-01,90,14528,공연,12세이상관람가,9.38,,,2021,3
웨이 다운,(주)누리픽쳐스,2021-03-01,309,13743,액션,15세이상관람가,9.0,4.0,5.0,2021,3
아이 씨 유,(주)홈초이스,2021-03-01,113,12810,스릴러,15세이상관람가,,4.2,5.5,2021,3
고백,(주)리틀빅픽쳐스,2021-02-01,255,11604,드라마,15세이상관람가,8.0,4.6,8.0,2021,2
페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,(주)애니플러스,2020-10-01,149,10483,애니메이션,15세이상관람가,9.5,4.8,,2020,10
정말 먼 곳,그린나래미디어(주),2021-03-01,204,8662,드라마,12세이상관람가,8.79,,7.2,2021,3
그녀가 사라졌다,(주)스튜디오디에이치엘,2021-03-01,143,7042,멜로/로맨스,12세이상관람가,8.4,4.7,5.5,2021,3
스파이의 아내,M&M 인터내셔널,2021-03-01,120,7035,드라마,12세이상관람가,8.68,,8.0,2021,3
암모나이트,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-03-01,207,5820,드라마,청소년관람불가,8.9,4.1,6.67,2021,3
파이터,㈜인디스토리,2021-03-01,74,5796,드라마,12세이상관람가,8.86,4.4,4.0,2021,3
퍼펙트 케어,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",2021-02-01,308,5761,범죄,15세이상관람가,9.06,2.0,6.0,2021,2
더 레이서,(주)다자인소프트,2021-02-01,146,5647,드라마,15세이상관람가,8.2,,6.5,2021,2
아무도 없는 곳,(주)엣나인필름,2021-03-01,374,5077,드라마,15세이상관람가,7.75,,5.67,2021,3
워 위드 그랜파,"(주)키다리이엔티,(주)태양미디어그룹",2021-02-01,322,4835,코미디,12세이상관람가,7.88,3.8,5.5,2021,2
라스트 레터,(주)스튜디오 산타클로스엔터테인먼트,2021-02-01,160,4528,멜로/로맨스,전체관람가,8.3,,6.17,2021,2
아르코 라이브 뮤지컬 호프,(주)아이디어랩,2021-03-01,10,4509,공연,12세이상관람가,,,,2021,3
내일도 우린 사랑하고 있을까,(주)디스테이션,2021-03-01,129,4451,드라마,12세이상관람가,7.57,,4.0,2021,3
와일드 마운틴 타임,"(주)영화사 빅,(주)태양미디어그룹",2021-03-01,272,4072,멜로/로맨스,12세이상관람가,8.03,4.0,5.67,2021,3
"조제, 호랑이 그리고 물고기들",(주)팝엔터테인먼트,2021-03-01,388,4001,애니메이션,12세이상관람가,7.77,,7.0,2021,3
쁘떼뜨,예지림엔터테인먼트,2021-03-01,105,3915,멜로/로맨스,12세이상관람가,9.78,,6.0,2021,3
해길랍,오드,2021-03-01,223,3844,멜로/로맨스,15세이상관람가,7.88,,6.0,2021,3
커피 오어 티,(주)넥스트엔터테인먼트월드(NEW),2021-03-01,119,3766,코미디,12세이상관람가,5.83,,4.5,2021,3
랜드,유니버설픽쳐스인터내셔널 코리아(유),2021-03-01,25,3722,드라마,12세이상관람가,9.13,4.1,6.0,2021,3
국카스텐 콘서트 실황 : 해프닝,CGV ICECON,2021-03-01,54,3485,공연,전체관람가,,,,2021,3
유어 아이즈 텔,"(주)리틀빅픽쳐스,주식회사 더쿱",2021-03-01,103,3370,멜로/로맨스,15세이상관람가,9.54,4.9,5.0,2021,3
아수라도,(주)제이앤씨미디어그룹,2021-03-01,101,3166,액션,청소년관람불가,9.6,,2.0,2021,3
프라미싱 영 우먼,유니버설픽쳐스인터내셔널 코리아(유),2021-02-01,70,2905,범죄,15세이상관람가,7.83,4.3,7.0,2021,2
라라의 신비한 모험,와이드 릴리즈(주),2021-03-01,165,2808,애니메이션,전체관람가,8.33,,,2021,3
부활: 그 증거,(주)영화사 진진,2020-10-01,111,2715,다큐멘터리,전체관람가,9.82,,4.0,2020,10
잃어버린 얼굴 1895,(재)서울예술단,2021-02-01,63,2613,뮤지컬,전체관람가,7.08,,4.0,2021,2
트웬티 해커,(주)도어이앤엠,2021-03-01,74,2301,액션,15세이상관람가,5.96,,,2021,3
어니스트 씨프,(주)올스타엔터테인먼트,2021-02-01,554,2278,액션,15세이상관람가,8.65,3.8,4.0,2021,2
극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 완더링; 아가트람,(주)애니플러스,2021-02-01,91,2181,애니메이션,15세이상관람가,6.08,,,2021,2
디 아더 사이드,찬란,2021-03-01,20,2112,공포(호러),12세이상관람가,,,5.0,2021,3
세자매,(주)리틀빅픽쳐스,2021-01-01,569,2094,드라마,15세이상관람가,8.95,,5.0,2021,1
아이카,(주)디오시네마,2021-03-01,38,2090,드라마,12세이상관람가,9.22,,7.0,2021,3
더블패티,"케이티하이텔(주),판씨네마(주)",2021-02-01,265,2043,드라마,15세이상관람가,9.14,4.8,5.0,2021,2
북스마트,(주)콘텐츠판다,2021-01-01,163,1951,코미디,15세이상관람가,8.49,4.0,6.5,2021,1
원초적 본능,(주)제이앤씨미디어그룹,2021-03-01,32,1927,미스터리,청소년관람불가,6.27,,7.13,2021,3
타오르는 여인의 초상,"그린나래미디어(주),(주)홈초이스",2020-01-01,120,1914,드라마,15세이상관람가,9.15,4.8,9.5,2020,1
반딧불이 딘딘과 용감한 곤충 탐험대,(주)씨네필운,2021-03-01,99,1849,애니메이션,전체관람가,7.09,,4.5,2021,3
빛과 철,찬란,2021-02-01,161,1801,드라마,12세이상관람가,8.37,,6.5,2021,2
조제,워너브러더스 코리아(주),2020-12-01,1179,1746,멜로/로맨스,15세이상관람가,8.2,,5.6,2020,12
포제서,(주)제이앤씨미디어그룹,2021-03-01,80,1654,스릴러,청소년관람불가,7.4,3.3,6.5,2021,3
새해전야,(주)에이스메이커무비웍스,2021-02-01,906,1633,멜로/로맨스,12세이상관람가,8.38,,5.5,2021,2
리틀드래곤 코코넛2: 정글대탐험,(주)팝엔터테인먼트,2021-02-01,147,1621,애니메이션,전체관람가,6.5,,6.0,2021,2
해변의 에트랑제,(주)팝엔터테인먼트,2021-02-01,92,1606,애니메이션,15세이상관람가,9.17,4.9,,2021,2
헬렌: 내 영혼의 자화상,(주)영화사 진진,2021-02-01,40,1566,드라마,12세이상관람가,8.13,,6.5,2021,2
인천스텔라,(주)영화사 그램,2021-03-01,50,1060,SF,12세이상관람가,7.8,,4.0,2021,3
멀리가지마라,(주)영화사오원,2021-03-01,34,1046,코미디,15세이상관람가,7.28,,4.5,2021,3
"구라, 베토벤",목영이엔엠,2021-02-01,11,992,기타,15세이상관람가,,,5.0,2021,2
시간의 끝에서 널 기다려,(주)디스테이션,2021-02-01,111,932,드라마,12세이상관람가,,,5.0,2021,2
신 테니스의 왕자 효테이 vs 릿카이 : 게임 오브 퓨처 전편,(주)얼리버드픽쳐스,2021-03-01,60,883,애니메이션,전체관람가,8.5,,,2021,3
나는 나를 해고하지 않는다,(주)영화사 진진,2021-01-01,313,831,드라마,12세이상관람가,8.17,,6.8,2021,1
밤빛,영화배급협동조합 씨네소파,2021-03-01,31,772,드라마,전체관람가,8.0,,6.0,2021,3
더 터널,예지림엔터테인먼트,2021-03-01,36,768,액션,12세이상관람가,,3.8,4.67,2021,3
모추어리 컬렉션,(주)이놀미디어,2021-01-01,115,746,판타지,청소년관람불가,6.36,4.1,6.25,2021,1
117편의 러브레터,알토미디어(주),2021-03-01,18,720,멜로/로맨스,15세이상관람가,8.6,,6.25,2021,3
아일로,(주)에스와이코마드,2021-03-01,25,655,다큐멘터리,전체관람가,9.46,,6.0,2021,3
신패왕화 : 예스마담,라온아이(주),2021-03-01,5,620,액션,15세이상관람가,0.0,,,2021,3
레컨,주식회사 풍경소리,2021-02-01,20,606,전쟁,15세이상관람가,4.58,2.3,5.0,2021,2
극장판 바이올렛 에버가든,(주)라이크콘텐츠,2020-11-01,131,484,애니메이션,전체관람가,9.53,4.9,6.5,2020,11
주세페 베르디의 '레퀴엠',일미디어,2021-03-01,11,472,공연,전체관람가,,,,2021,3
드림빌더,(주)트리플픽쳐스,2021-02-01,327,435,애니메이션,전체관람가,8.79,3.5,6.0,2021,2
정브르의 동물일기,CGV ICECON,2021-02-01,51,429,다큐멘터리,전체관람가,8.5,,,2021,2
특명: 스피드 레스큐,와이드 릴리즈(주),2021-03-01,21,427,액션,15세이상관람가,3.09,,,2021,3
턴: 더 스트릿,(주)26컴퍼니,2021-03-01,27,414,드라마,12세이상관람가,8.33,,,2021,3
UFO 스케치,(주)마노엔터테인먼트,2021-03-01,10,404,다큐멘터리,전체관람가,9.06,,7.0,2021,3
디지몬 어드벤처 : 라스트 에볼루션 인연,(주)얼리버드픽쳐스,2021-02-01,70,396,애니메이션,12세이상관람가,,4.7,,2021,2
실종: 사라진 사람들,(주)제이앤씨미디어그룹,2021-03-01,30,348,공포(호러),15세이상관람가,2.55,,,2021,3
아홉수 로맨스,(주)스튜디오 보난자,2021-02-01,24,342,멜로/로맨스,12세이상관람가,9.8,,4.5,2021,2
아이,롯데컬처웍스(주)롯데엔터테인먼트,2021-02-01,504,334,드라마,15세이상관람가,,,6.0,2021,2
그리고 방행자,"주식회사 블루필름웍스,THE 픽쳐스",2021-03-01,7,323,다큐멘터리,12세이상관람가,9.83,,5.0,2021,3
람보-특별판,(주)제이앤씨미디어그룹,2021-03-01,21,321,액션,15세이상관람가,8.93,4.6,,2021,3
페어웰,오드,2021-02-01,162,321,가족,전체관람가,,4.4,6.67,2021,2
스푸트닉,(주)제이앤씨미디어그룹,2021-02-01,83,301,SF,15세이상관람가,5.9,4.1,6.0,2021,2
유공자,M&M 인터내셔널,2021-03-01,4,287,드라마,15세이상관람가,8.71,,,2021,3
마리오네트,(주)이놀미디어,2021-02-01,138,230,미스터리,12세이상관람가,,,3.0,2021,2
3개의 얼굴들,주식회사 플릭스코,2021-03-01,5,227,드라마,15세이상관람가,8.45,,,2021,3
방황하는 네덜란드인,(주)케빈앤컴퍼니,2021-02-01,7,206,공연,12세이상관람가,0.0,,,2021,2
세상의 모든 디저트: 러브 사라,(주)티캐스트,2021-02-01,117,204,드라마,12세이상관람가,7.4,3.6,5.5,2021,2
출동! 시크릿 보틀 수호대,씨제이포디플렉스 주식회사,2021-03-01,10,196,애니메이션,전체관람가,,,,2021,3
스매시 앤 그랩: 보석강도단 핑크 팬더,독포레스트,2021-03-01,9,189,다큐멘터리,12세이상관람가,7.25,,5.5,2021,3
BBC프롬스: 그라치니테-틸라와 버밍엄 심포니,(주)케빈앤컴퍼니,2021-03-01,11,180,공연,전체관람가,,,,2021,3
몬스터 헌터,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-02-01,668,162,액션,12세이상관람가,0.0,3.3,4.5,2021,2
시 읽는 시간,(주)마노엔터테인먼트,2021-03-01,15,155,다큐멘터리,12세이상관람가,9.58,,6.0,2021,3
송가인 더 드라마,(주)영화특별시에스엠씨,2021-02-01,117,137,공연,전체관람가,9.08,,,2021,2
극장판 기븐,(주)애니플러스,2020-11-01,103,116,애니메이션,15세이상관람가,,4.9,5.0,2020,11
노가리,(주)드림팩트엔터테인먼트,2021-03-01,4,115,드라마,12세이상관람가,6.74,,3.5,2021,3
인싸,"(주)액티버스엔터테인먼트,예지림엔터테인먼트",2021-03-01,10,109,액션,12세이상관람가,4.63,,,2021,3
간이역,(주)드림팩트엔터테인먼트,2021-02-01,48,108,드라마,12세이상관람가,7.4,,3.5,2021,2
인투 더 미러,(주)팝엔터테인먼트,2021-02-01,219,108,SF,15세이상관람가,10.0,3.8,5.33,2021,2
킬러파티 (양수리 살인사건),CGV ICECON,2021-03-01,12,104,공연,15세이상관람가,9.53,,,2021,3
살아남은 사람들,알토미디어(주),2021-02-01,35,103,드라마,15세이상관람가,8.0,,6.33,2021,2
바바 야가: 숲의 악령,주식회사 풍경소리,2021-02-01,5,80,공포(호러),15세이상관람가,6.5,3.2,,2021,2
라이브 하드,(주)드림팩트엔터테인먼트,2021-02-01,10,72,드라마,15세이상관람가,8.07,,6.5,2021,2
루시드 드림,(주)라온컴퍼니플러스,2021-03-01,1,60,판타지,15세이상관람가,0.0,4.3,3.0,2021,3
내언니전지현과 나,호우주의보,2020-12-01,36,59,다큐멘터리,12세이상관람가,9.21,,6.67,2020,12
오늘부터 우리는!!,(주)미디어캐슬,2021-03-01,3,49,코미디,15세이상관람가,6.23,,6.0,2021,3
엘프,(주)박수엔터테인먼트,2021-02-01,228,47,애니메이션,전체관람가,8.78,4.6,5.0,2021,2
끝난 사람,(주)미디어캐슬,2021-03-01,3,44,코미디,12세이상관람가,5.0,,,2021,3
