MOVIE_NM,다음_평점
레트리뷰션,4.0
킹덤 3: 운명의 불꽃,8.0
넥스트 골 윈즈,6.0
영화 스미코구라시 - 튀어나오는 그림책과 비밀의 아이,9.5
클럽 제로,6.5
이어지는 땅,6.7
"주사위놀이, 마불 세계여행",
비욘드 유토피아,7.0
정글번치: 월드투어,
메이킹 다큐멘터리 `스즈메의 문단속`을 따라가다,9.0
소녀는 졸업하지 않는다,7.0
울산의 별,7.0
아톰 새로운 시작,
크레센도 반 클라이번 콩쿠르 실황,
무티: 주술살인,2.0
간신의 피,
일 부코,7.0
아녜스 V에 의한 제인 B,7.3
봉신연의: 조가풍운,
두 세계 사이에서,8.7
사랑하는 기생충,
서치: 데스게임,
아마존: 더 비기닝,
히즈,
"타르콥스키, 기도하는 영혼",
우리 돈 벌레,
웨스턴 프론트: 서부전선,
머릿속을,
파묘,7.7
건국전쟁,
"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",10.
도그데이즈,6.3
소풍,6.5
듄: 파트2,8.7
데드맨,5.0
아가일,6.5
아기상어 극장판: 사이렌 스톤의 비밀,7.0
사운드 오브 프리덤,6.0
DMZ 동물 특공대,8.7
바튼 아카데미,8.5
스노우 퍼핀즈,1.0
청춘 돼지는 책가방 소녀의 꿈을 꾸지 않는다,
우견니,5.0
기적의 시작,
월레스와 그로밋 더 클래식 컬렉션,
극장판 츠루네: 시작의 한 발,
플랜 75,6.0
에스파: 마이 퍼스트 페이지,10.
아네모네,4.0
영화 스미코구라시 - 푸른 달밤의 마법의 아이,7.0
대니초 : 코리안 드림,
막걸리가 알려줄거야,8.0
오키쿠와 세계,7.0
검은 소년,6.5
장인과 사위,
여기는 아미코,6.0
조폭인 내가 고등학생이 되었습니다,
벗어날 탈 脫,8.5
K스쿨,
갓랜드,
애프터: 유혹의 끝,
서바이벌 택틱스,
킹 VS. 머신킹,4.5
극장판 오드 택시 인 더 우즈,
마이 스몰 랜드,
썬 오브 람세스,
유어 럭키 데이,
블랙 로터스,4.0
댓글부대,7.7
고질라 X 콩: 뉴 엠파이어,6.0
극장판 스파이 패밀리 코드 : 화이트,
브레드이발소: 셀럽 인 베이커리타운,
가여운 것들,7.8
패스트 라이브즈,8.0
아이엠 티라노,
랜드 오브 배드,5.5
밥 말리: 원 러브,6.0
1980,
메이 디셈버,6.5
로봇 드림,9.5
용감한 돌고래 벨루와 바닷속 친구들,
악은 존재하지 않는다,9.0
탐정 말로,4.3
이승윤 콘서트 도킹 : 리프트오프,10.
나이트 스윔,4.5
목스박,
마담 웹,5.5
인어공주: 마법물약의 비밀,
생츄어리 2 : 쿼카가 너무해,
왓츠 러브,6.3
대결! 애니메이션,6.0
원 앤 온리,10.
화녀,2.0
돌핀,5.0
에픽하이 20 더 무비,
드림쏭3,
당신이 잠든 사이,
래빗스쿨 2: 부활절 대소동,
뒤주,
조용한 이주,
부활 그 소망,
잠행,
레이징 그레이스,6.0
다시 김대중-함께 합시다,
세월: 라이프 고즈 온,
리볼버 릴리,
다운폴,7.8
벙커 게임,3.0
극장판 후르츠 바스켓: 프렐류드,
검치호,
공백,
부르달락: 흡혈귀,
베어헌터,
범죄도시4,6.1
쿵푸팬더4,7.0
오멘: 저주의 시작,7.0
비키퍼,6.0
유미의 세포들 더 무비,
기동전사 건담 시드 프리덤,
고스트버스터즈: 오싹한 뉴욕,4.5
씬,6.0
챌린저스,7.3
골드핑거,5.0
슈가│어거스트 디 투어 ‘디-데이’ 더 무비,
마더스,6.0
바람의 세월,
어게인 1997,5.0
키메라,9.0
신 가면라이더,
에스파: 월드 투어 인 시네마,
몬스터 프렌즈,
땅에 쓰는 시,9.5
아서,8.0
여행자의 필요,10.
라스트 썸머,6.0
은하수,
정순,6.0
극장판 울려라! 유포니엄: 앙상블 콘테스트,
돌들이 말할 때까지,10.
극장판 여성향 게임의 파멸 플래그밖에 없는 악역 영애로 환생해버렸다...,
모르는 이야기,
우당탕탕 운동회,
올 더 네임즈 오브 갓,6.0
잔 뒤 바리,6.0
보티첼리. 피렌체와 메디치,
브레이브 온 파이어,
그날의 딸들,
8인의 용의자들,
사랑은 빛,
카니펙스: 죽음의 숲,
연련,
"안전제일, 놀이퀴즈 최강전",
혹성탈출: 새로운 시대,7.4
그녀가 죽었다,6.0
퓨리오사: 매드맥스 사가,8.0
극장판 하이큐!! 쓰레기장의 결전,
가필드 더 무비,
설계자,4.0
스턴트맨,7.0
"포켓몬스터: 성도지방 이야기, 최종장",
이프: 상상의 친구,8.0
청춘 18X2 너에게로 이어지는 길,7.5
악마와의 토크쇼,9.0
꼬마참새 리차드: 신비한 보석 탐험대,
극장판 실바니안 패밀리: 프레야의 선물,
드림 시나리오,7.3
애비게일,7.0
별처럼 빛나는 너에게 더무비-일섬일섬량성성,
분노의 강,
목화솜 피는 날,6.0
결속밴드 라이브 -항성-,
차이콥스키의 아내,7.0
힙노시스: LP 커버의 전설,7.0
"낸 골딘, 모든 아름다움과 유혈사태",7.0
내 손끝에 너의 온도가 닿을 때,
창가의 토토,7.0
더 초즌: 선택받은 자,
디피컬트,6.0
오늘부터 댄싱퀸,6.0
찬란한 내일로,7.0
비행사의 아내,
도뷔시,6.0
정욕,6.0
늦더위,7.0
아침이 오면 공허해진다,
미지수,7.0
노무현과 바보들: 못다한 이야기,
난 엄청 창의적인 휴머니스트 뱀파이어가 될 거야,8.5
라파엘로. 예술의 군주,
유코의 평형추,
할리우드 살인사건,2.0
드라이브,4.5
8일 만에 죽은 괴수의 12일 이야기,
인사이드 아웃 2,7.8
하이재킹,6.5
원더랜드,7.0
핸섬가이즈,7.2
콰이어트 플레이스: 첫째 날,6.7
존 오브 인터레스트,7.5
나쁜 녀석들: 라이드 오어 다이,6.8
명탐정 코난 VS 괴도 키드,7.0
프렌치 수프,8.7
김준수 콘서트 무비 챕터 원 : 레크리에이션,
키타로 탄생 게게게의 수수께끼,9.0
북극백화점의 안내원,6.5
빼꼼: 미션 투 마스,
타로,6.0
"1초 앞, 1초 뒤",7.0
바커스: 슈퍼스타가 될 거야,
언더더씨: 마법 산호초를 찾아서,6.0
몽키맨,5.0
프리실라,7.3
금지된 장난,
캣퍼슨,5.5
판문점,
기괴도,
생츄어리,6.5
노 웨이 업,3.0
태풍 클럽,5.5
다우렌의 결혼,6.0
카브리올레,
다섯 번째 방,6.0
감독판 김일성의 아이들,
마거리트의 정리,6.0
대치동 스캔들,
퀸 엘리자베스,5.0
이소룡-들,6.0
양치기,6.5
피렌체와 우피치 미술관,
목중무인 : 안하무인,
니자리,
보통의 우주는 찬란함을 꿈꾸는가?,
아주 오래된 미래도시,
키키의 경계성 인격장애 다이어리,
우리와 상관없이,8.0
탈주,7.2
데드풀과 울버린,6.7
슈퍼배드 4,
탈출: 프로젝트 사일런스,6.0
명탐정 코난: 100만 달러의 펜타그램,7.0
파일럿,6.5
극장판 도라에몽: 진구의 지구 교향곡,2.0
퍼펙트 데이즈,7.0
우마무스메 프리티 더비 새로운 시대의 문,
플라이 미 투 더 문,5.3
2023 영탁 단독 콘서트 : 탁쇼2,
러브 라이즈 블리딩,6.0
만천과해,5.0
이매큘레이트,5.0
박정희: 경제대국을 꿈꾼 남자,
빅샤크5: 80일간의 해저일주,3.0
그리고 바통은 넘겨졌다,
헬로카봇 올스타 스페셜,
이준호 콘서트 : 다시 만나는 날,
다큐 황은정 : 스마트폰이 뭐길래,
그랑블루 오리지날 리마스터링,8.5
수카바티: 극락축구단,7.0
볼빨간사춘기: 메리 고 라운드 더 무비,
2024 박은빈 팬 콘서트 <은빈노트 : 디바>,
더 납작 엎드릴게요,6.0
엄마의 왕국,6.0
블랙핑크 월드투어 [본 핑크] 인 시네마,
극장판 폴 프린세스!!,
사일런트 나잇,5.0
더 원더스,
하이퍼포커스 : 투모로우바이투게더 브이알 콘서트,
극장판 프리큐어 올스타즈 F,
미래의 범죄들,3.0
진주의 진주,6.0
쿵쿵따 탐험대,
블러디 이스케이프: 지옥의 도주극,
이솝이야기,3.3
2023 심규선 단독 콘서트 : 우리 앞의 세계,
샤인,6.0
파편들의 집,7.0
베베핀 플레이타임,
에이리언: 로물루스,7.5
사랑의 하츄핑,9.7
행복의 나라,7.7
트위스터스,8.3
빅토리,6.0
늘봄가든,5.0
임영웅│아임 히어로 더 스타디움,
필사의 추격,4.0
세븐틴 투어 ‘팔로우’ 어게인 투 시네마,
극장총집편 봇치 더 록! 전편,
극장판 블루 록 -에피소드 나기-,
10 라이브즈,
바다 탐험대 옥토넛 어보브 앤 비욘드 : 바다가 위험해,
한국이 싫어서,6.0
신비아파트 특별편: 붉은 눈의 사신,
마야,
이매지너리,5.0
그리고 목련이 필때면,
프로이트의 라스트 세션,6.0
영웅: 라이브 인 시네마,
1923 간토대학살,
디베르티멘토,10.
쥬라기캅스 극장판: 전설의 고대생물을 찾아라,
이오 카피타노,6.0
킬,6.0
실리카겔 <파워 앙드레 99>,
조선인 여공의 노래,
물은 바다를 향해 흐른다,6.0
킹 오브 프리즘 -드라마틱 프리즘.1-,
스트레인저스: 챕터1,4.0
공드리의 솔루션북,
극장판 : 기븐_히이라기 믹스,
그 여름날의 거짓말,7.5
문경,6.0
[마이 아티 필름] 온앤오프 : 뷰티풀 뷰티풀,
"[마이 아티 필름] 루시: 개화, 히어로 그리고 낙화",3.9
제프 쿤스. 그 은밀한 초상,
풍기,
박정희: 경제대국을 꿈꾼 남자 특별판,
러브 달바,
터커 & 데일 Vs 이블,7.0
"뭉크. 사랑, 영혼 그리고 뱀파이어 여인",
키시베 로한 루브르에 가다,
더 라이언: 사막의 생존자들,
똥 싸는 소리,
양지뜸,
베테랑2,6.8
"안녕, 할부지",10.
룩백,9.0
트랜스포머 ONE,7.3
브레드이발소: 빵스타의 탄생,
비틀쥬스 비틀쥬스,7.3
오지: 사라진 숲을 찾아서,
스픽 노 이블,6.0
정국: 아이 엠 스틸,
우리가 끝이야,5.0
극장총집편 봇치 더 록! 후편,
장손,7.0
그녀에게,6.0
더 커버넌트,6.5
딸에 대하여,7.0
새벽의 모든,8.0
레드불 T1 다큐멘터리 : 함께 날아오르다,
트랩,4.0
캐시 아웃,3.0
코마다 위스키 패밀리,6.0
요네즈 켄시 2023 투어 / 공상,
"오빠, 남진",
원맨,5.3
수유천,8.5
여름이 끝날 무렵의 라트라비아타,5.0
사랑의 탐구,6.0
수 분간의 응원을,
엑소시스트: 더 데빌,
호비와 마법의 카네이션,
독립시대,6.0
테인티드 러브,7.0
태용: 티와이 트랙 인 시네마,
죽고 싶지만 사랑은 하고 싶어,7.0
52헤르츠 고래들,
해야 할 일,7.0
국외자들,9.0
[마이 아티 필름] 보이넥스트도어 : 부모님 관람 불가,
산이 부른다,8.0
바이크 라이더스,6.3
"줄리엣, 네이키드",6.0
바리데기,
래시: 뉴 어드벤처,5.0
마녀들의 카니발,
기기묘묘2,
티치아노. 색채의 제국,
베놈: 라스트 댄스,5.7
대도시의 사랑법,6.8
조커: 폴리 아 되,5.3
와일드 로봇,7.0
보통의 가족,6.7
아마존 활명수,8.0
더러운 돈에 손대지 마라,
명탐정 코난: 시한장치의 마천루,
스마일 2,
6시간 후 너는 죽는다,
너의 색,
"극장판 엉덩이 탐정: 안녕, 나의 영원한 친구",
엘리자벳: 더 뮤지컬 라이브,
아이브 더 퍼스트 월드투어 인 시네마,
오후 네시,
"하이라이트: 라이츠 고 온, 어게인 인 시네마",
룸 넥스트 도어,9.0
할머니가 죽기 전 백만장자가 되는 법,
롱레그스,4.0
리틀 엠마,
구룡성채: 무법지대,
더 킬러스,
마이펫의 컴백홈 어드벤처,
"결혼, 하겠나?",
세상 참 예쁜 오드리,
악이 도사리고 있을 때,6.0
정국: 아이 엠 스틸 위드 유,
위국일기,
폭설,
하와이 연가,
우리는 천국에 갈 순 없지만 사랑은 할 수 있겠지,
극장판 고래와 나,
레드 룸스,7.0
키타로 탄생 게게게의 수수께끼: 트루 에디션,
어프렌티스,6.3
최소한의 선의,
공작새,
싱글 에이트,
쏜애플 불구경 2024 라이브 콘서트 필름,
동경의 황혼,6.3
재즈처럼 더 무비,
"럭키, 아파트",
호두까기 인형과 마술피리,
개그맨,
쑤저우강,
컬트 시카리오,
페이퍼맨,
잠자리 구하기,
바넬과 아다마,7.0
빚가리,
위키드,8.9
모아나 2,6.3
글래디에이터 Ⅱ,8.3
청설,7.5
히든페이스,5.5
사흘,4.0
레드 원,7.0
나의 히어로 아카데미아 더 무비: 유어 넥스트,
4분 44초,
데드라인,
아노라,7.0
아메바 소녀들과 학교괴담: 개교기념일,
빌리와 용감한 녀석들: 스노우 베어 구조대,
4월이 되면 그녀는,6.0
연소일기,
"괜찮아, 앨리스",
극장판 오버로드 성왕국편,
클로즈 유어 아이즈,
저니 투 베들레헴,
미망,7.0
전장의 크리스마스,6.5
되살아나는 목소리,
춘천대첩 72시간,
트라페지움,
아침바다 갈매기는,8.5
딜리버리,
여름날의 레몬그라스,
에드워드 호퍼,
나 혼자만 레벨업 -리어웨이크닝-,
한 채,
극장판 미스터리라 하지 말지어다,7.0
킹덤4: 대장군의 귀환,
백현: 론스달라이트 닷 인 시네마,
마리우폴에서의 20일,
애시드 레인: 죽음의 비,
하우치,
복수는 나의것,8.3
"침몰 10년, 제로썸",
위대한 부재,
씨앗의 시간,
요루시카 '달과 고양이의 댄스' 2024 라이브,
블링크 트와이스,
엘스타 2 : 드리미 스테이지,
프리다. 삶이여 영원하라,
자기만의 방,
호랑님의 생일날,
열 개의 우물,
아가미,
"뉴클래식 프로젝트 미안하다, 사랑한다",
