영화제목,유통회사명,개봉일,총스크린수,관람인원수,장르,등급,네이버_평점,구글_평점,씨네21_평점,개봉년도,개봉월
우리 돈 벌레,㈜스토리셋,20231228,5,39,코미디,12세이상관람가,7.8,,,2023,12
키리에의 노래: 디렉터스 컷,이화배컴퍼니(주),20231124,9,39,드라마,15세이상관람가,7.92,,6.0,2023,11
절해고도,"아이 엠,무브먼트",20230927,36,34,드라마,12세이상관람가,7.88,,6.5,2023,09
언더 유어 베드,(주)트리플픽쳐스,20231213,54,32,스릴러,청소년관람불가,3.38,,3.0,2023,12
마에스트로 번스타인,씨제이 씨지브이(CJ CGV)(주),20231206,61,30,드라마,15세이상관람가,7.04,3.5,8.5,2023,12
웨스턴 프론트: 서부전선,주식회사 풍경소리,20231221,5,26,전쟁,15세이상관람가,1.0,,,2023,12
룩앳미 터치미 키스미,시네마 뉴원,20231206,7,19,멜로/로맨스,15세이상관람가,10.0,,5.0,2023,12
만분의 일초,(주)더쿱디스트리뷰션,20231115,74,19,액션,12세이상관람가,8.54,,6.25,2023,11
머릿속을,하준사,20240124,5,18,드라마,12세이상관람가,8.5,,,2024,01
파묘,(주)쇼박스,20240222,2355,3697250,미스터리,15세이상관람가,8.22,4.6,7.15,2024,02
웡카,워너브러더스 코리아(주),20240131,1753,2943400,판타지,전체관람가,7.99,3.8,6.44,2024,01
시민덕희,(주)쇼박스,20240124,1272,1038456,드라마,15세이상관람가,8.3,,5.67,2024,01
건국전쟁,다큐스토리,20240201,224,1031018,다큐멘터리,12세이상관람가,9.45,,,2024,02
"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",씨제이 씨지브이(CJ CGV)(주),20240214,393,426871,애니메이션,15세이상관람가,7.72,,10.0,2024,02
도그데이즈,(주)씨제이이엔엠,20240207,847,356139,드라마,12세이상관람가,7.88,,5.33,2024,02
소풍,롯데컬처웍스(주)롯데엔터테인먼트,20240207,729,312731,드라마,12세이상관람가,8.83,,7.25,2024,02
듄: 파트2,워너브러더스 코리아(주),20240228,1544,268510,액션,12세이상관람가,8.98,4.4,7.5,2024,02
데드맨,플러스엠 엔터테인먼트,20240207,800,236624,범죄,15세이상관람가,7.88,,5.0,2024,02
아가일,유니버설픽쳐스인터내셔널 코리아(유),20240207,841,138833,액션,12세이상관람가,7.25,3.1,6.0,2024,02
아기상어 극장판: 사이렌 스톤의 비밀,(주)넥스트엔터테인먼트월드(NEW),20240207,578,99452,애니메이션,전체관람가,8.0,,6.0,2024,02
외계+인 2부,(주)씨제이이엔엠,20240110,1390,80347,기타,12세이상관람가,8.01,4.5,5.29,2024,01
추락의 해부,(주)스튜디오디에이치엘,20240131,236,72886,드라마,15세이상관람가,8.45,3.5,7.73,2024,01
서울의 봄,플러스엠 엔터테인먼트,20231122,2328,64667,드라마,12세이상관람가,9.49,4.6,6.67,2023,11
정글번치: 월드투어,(주)무비다이브,20240131,193,49908,애니메이션,전체관람가,7.88,,5.0,2024,01
위시,월트디즈니컴퍼니코리아 유한책임회사,20240103,1421,46801,애니메이션,전체관람가,7.13,2.8,5.5,2024,01
사운드 오브 프리덤,(주)넥스트엔터테인먼트월드(NEW),20240221,248,38674,범죄,15세이상관람가,9.3,4.9,4.5,2024,02
괴물,(주)넥스트엔터테인먼트월드(NEW),20231129,647,33440,드라마,12세이상관람가,9.03,4.6,8.0,2023,11
인투 더 월드,유니버설픽쳐스인터내셔널 코리아(유),20240110,839,32074,애니메이션,전체관람가,8.64,4.4,6.0,2024,01
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,(주)씨제이이엔엠,20231222,883,26362,애니메이션,전체관람가,7.91,4.5,6.0,2023,12
DMZ 동물 특공대,(주)박수엔터테인먼트,20240214,201,21445,애니메이션,전체관람가,6.92,,6.5,2024,02
바튼 아카데미,유니버설픽쳐스인터내셔널 코리아(유),20240221,254,21229,코미디,15세이상관람가,8.45,4.6,8.38,2024,02
스노우 퍼핀즈,(주)팝엔터테인먼트,20240215,315,20478,애니메이션,전체관람가,8.35,,1.0,2024,02
청춘 돼지는 책가방 소녀의 꿈을 꾸지 않는다,(주)애니플러스,20240201,84,18409,애니메이션,12세이상관람가,9.2,,,2024,02
우견니,"오드,홀리가든",20240214,143,17667,멜로/로맨스,12세이상관람가,7.16,,5.0,2024,02
기적의 시작,퓨어웨이픽쳐스,20240222,137,15220,다큐멘터리,12세이상관람가,8.41,,,2024,02
비욘드 유토피아,"(주)홈초이스,(주)드림팩트엔터테인먼트,(주)스마일이엔티",20240131,158,12619,다큐멘터리,12세이상관람가,9.44,,8.0,2024,01
월레스와 그로밋 더 클래식 컬렉션,CGV ICECON,20240221,52,12075,애니메이션,전체관람가,8.82,,,2024,02
극장판 츠루네: 시작의 한 발,(주)라이크콘텐츠,20240221,119,12039,애니메이션,전체관람가,8.52,,6.0,2024,02
노량: 죽음의 바다,"롯데컬처웍스(주)롯데엔터테인먼트,(주)에이스메이커무비웍스",20231220,2196,11890,사극,12세이상관람가,8.24,,6.6,2023,12
길위에 김대중,"(주)아이오케이컴퍼니,(주)명필름,(주)시네마6411",20240110,414,11356,다큐멘터리,12세이상관람가,9.64,,6.0,2024,01
플랜 75,찬란,20240207,50,11217,드라마,15세이상관람가,7.52,,6.71,2024,02
지오디 마스터피스 더 무비,씨제이 씨지브이(CJ CGV)(주),20240110,75,9675,공연,전체관람가,9.64,,,2024,01
에스파: 마이 퍼스트 페이지,"롯데컬처웍스(주)롯시플,(주)영화사 그램",20240214,68,9024,공연,전체관람가,7.68,,10.0,2024,02
아네모네,㈜인디스토리,20240207,57,7645,코미디,15세이상관람가,6.5,,4.67,2024,02
나의 올드 오크,(주)영화사 진진,20240117,83,7218,드라마,15세이상관람가,7.67,4.4,7.5,2024,01
영화 스미코구라시 - 푸른 달밤의 마법의 아이,(주)미디어캐슬,20240207,106,6383,애니메이션,전체관람가,,,5.33,2024,02
크레센도 반 클라이번 콩쿠르 실황,오드,20240131,65,5696,공연,전체관람가,9.35,,,2024,01
엔드 오브 에반게리온,(주)라이크콘텐츠,20240117,130,5633,애니메이션,청소년관람불가,9.13,4.8,8.0,2024,01
더 퍼스트 슬램덩크,(주)넥스트엔터테인먼트월드(NEW),20230104,1023,5315,애니메이션,12세이상관람가,9.25,4.5,7.67,2023,01
대니초 : 코리안 드림,"씨제이 씨지브이(CJ CGV)(주),CGV ICECON",20240214,24,5139,공연,청소년관람불가,10.0,,,2024,02
뽀로로 극장판 슈퍼스타 대모험,씨제이 씨지브이(CJ CGV)(주),20231213,850,4366,애니메이션,전체관람가,8.56,,6.0,2023,12
막걸리가 알려줄거야,"판씨네마(주),(주)홈초이스",20240228,73,4131,드라마,전체관람가,7.83,,7.0,2024,02
"주사위놀이, 마불 세계여행",(주)니즈텔레콤,20240103,1,4070,어드벤처,전체관람가,,,,2024,01
오키쿠와 세계,(주)엣나인필름,20240221,36,3977,드라마,12세이상관람가,7.63,,8.5,2024,02
극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,메가박스중앙(주),20231019,78,3883,애니메이션,전체관람가,,,,2023,10
검은 소년,(주)트리플픽쳐스,20240207,31,3513,드라마,15세이상관람가,6.57,,5.67,2024,02
아톰 새로운 시작,주식회사 블루필름웍스,20240131,144,3428,애니메이션,전체관람가,8.17,4.5,,2024,01
도그맨,(주)레드아이스 엔터테인먼트,20240124,496,3402,드라마,15세이상관람가,7.31,4.8,5.67,2024,01
극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,메가박스중앙(주),20231019,79,3156,애니메이션,전체관람가,,,,2023,10
크레센도,오드,20231220,81,2311,다큐멘터리,전체관람가,8.7,,5.0,2023,12
라이즈,(주)무비다이브,20240117,68,2054,드라마,15세이상관람가,8.3,4.7,5.5,2024,01
장인과 사위,주식회사 제이씨엔터웍스,20240215,49,1917,코미디,12세이상관람가,5.22,,,2024,02
노 베어스,M&M 인터내셔널,20240110,41,1825,드라마,12세이상관람가,8.54,,7.43,2024,01
말하고 싶은 비밀,"(주)바이포엠스튜디오,홀리가든",20231213,401,1802,멜로/로맨스,전체관람가,7.3,4.8,5.0,2023,12
아녜스 V에 의한 제인 B,(주)영화사 안다미로,20240131,33,1690,판타지,청소년관람불가,7.77,,7.5,2024,01
류이치 사카모토: 오퍼스,"(주)엣나인필름,메가박스중앙(주)",20231227,251,1640,공연,전체관람가,8.63,,7.0,2023,12
사랑은 낙엽을 타고,찬란,20231220,40,1463,멜로/로맨스,12세이상관람가,7.9,3.9,8.11,2023,12
두 세계 사이에서,(주)디오시네마,20240131,35,1448,드라마,12세이상관람가,7.7,4.6,6.5,2024,01
그대들은 어떻게 살 것인가,메가박스중앙(주),20231025,1733,1357,애니메이션,전체관람가,6.98,3.8,7.9,2023,10
여기는 아미코,주식회사 슈아픽처스,20240228,40,1188,가족,전체관람가,7.3,,6.75,2024,02
세기말의 사랑,"(주)엔케이컨텐츠,(주)디스테이션",20240124,123,1111,드라마,12세이상관람가,7.88,,6.67,2024,01
리빙: 어떤 인생,(주)티캐스트,20231213,50,1092,드라마,12세이상관람가,7.8,4.4,6.5,2023,12
조폭인 내가 고등학생이 되었습니다,주식회사 넘버쓰리픽쳐스,20240222,16,1039,판타지,15세이상관람가,8.82,4.9,,2024,02
넥스트 골 윈즈,월트디즈니컴퍼니코리아 유한책임회사,20240124,156,951,코미디,전체관람가,7.08,4.1,5.6,2024,01
"타르콥스키, 기도하는 영혼",(주)와우,20240131,9,877,다큐멘터리,12세이상관람가,7.67,,,2024,01
덤 머니,"그린나래미디어(주),(주)플레이그램",20240117,465,872,코미디,15세이상관람가,7.69,4.0,6.0,2024,01
"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",와이드 릴리즈(주),20231227,215,737,애니메이션,전체관람가,8.04,,,2023,12
걸즈 앤 판처 최종장 제4화,(주)디스테이션,20240117,40,712,애니메이션,12세이상관람가,8.62,,,2024,01
어른 김장하,(주)시네마달,20231115,98,688,다큐멘터리,전체관람가,9.5,,6.0,2023,11
너와 나,"주식회사 필름영,그린나래미디어(주)",20231025,76,683,드라마,12세이상관람가,8.77,,,2023,10
엘리멘탈,월트디즈니컴퍼니코리아 유한책임회사,20230614,1251,643,애니메이션,전체관람가,8.92,,7.29,2023,06
벗어날 탈 脫,영화배급협동조합 씨네소파,20240221,14,620,미스터리,15세이상관람가,6.77,,6.67,2024,02
K스쿨,강 컨텐츠,20240221,19,599,드라마,전체관람가,7.67,,4.0,2024,02
티처스 라운지,(주)스튜디오디에이치엘,20231227,29,537,드라마,12세이상관람가,7.7,3.8,7.25,2023,12
갓랜드,M&M 인터내셔널,20240228,24,529,드라마,15세이상관람가,7.59,3.4,7.67,2024,02
영화 스미코구라시 - 튀어나오는 그림책과 비밀의 아이,(주)미디어캐슬,20240124,101,521,애니메이션,전체관람가,,,5.5,2024,01
소녀는 졸업하지 않는다,해피송,20240124,42,517,멜로/로맨스,12세이상관람가,7.56,,6.5,2024,01
애프터: 유혹의 끝,스튜디오 에이드,20240221,46,478,멜로/로맨스,15세이상관람가,5.29,2.3,1.5,2024,02
트롤: 밴드 투게더,유니버설픽쳐스인터내셔널 코리아(유),20231220,845,382,애니메이션,전체관람가,8.53,4.0,5.5,2023,12
스즈메의 문단속: 다녀왔어,(주)쇼박스,20240110,185,362,애니메이션,12세이상관람가,8.45,4.6,,2024,01
블루 자이언트,판씨네마(주),20231018,574,311,애니메이션,12세이상관람가,8.7,,6.67,2023,10
마에스트로 번스타인,씨제이 씨지브이(CJ CGV)(주),20231206,61,284,드라마,15세이상관람가,7.04,3.5,8.5,2023,12
울산의 별,영화로운 형제,20240124,21,280,드라마,15세이상관람가,6.8,,6.5,2024,01
립세의 사계,(주)디스테이션,20240110,186,227,애니메이션,15세이상관람가,7.57,4.3,5.2,2024,01
클럽 제로,판씨네마(주),20240124,60,209,미스터리,12세이상관람가,7.41,3.1,6.0,2024,01
일 부코,그린나래미디어(주),20240124,10,166,드라마,전체관람가,6.33,,7.67,2024,01
서바이벌 택틱스,필름다빈,20240221,12,163,드라마,12세이상관람가,8.58,,6.0,2024,02
백남준: 달은 가장 오래된 TV,(주)엣나인필름,20231206,33,159,다큐멘터리,12세이상관람가,7.94,,6.5,2023,12
스즈메의 문단속,(주)쇼박스,20230308,1486,152,애니메이션,12세이상관람가,8.45,4.6,7.6,2023,03
킹 VS. 머신킹,(주)제이앤씨미디어그룹,20240215,10,152,액션,12세이상관람가,7.75,,,2024,02
극장판 오드 택시 인 더 우즈,(주)미디어캐슬,20240216,6,143,애니메이션,15세이상관람가,5.0,,,2024,02
레트리뷰션,메가박스중앙(주),20240124,202,139,액션,15세이상관람가,,2.4,3.0,2024,01
마이 스몰 랜드,(주)미디어캐슬,20240201,6,135,드라마,12세이상관람가,7.67,,,2024,02
힐마 아프 클린트 - 미래를 위한 그림,(주)마노엔터테인먼트,20231220,24,133,다큐멘터리,전체관람가,9.1,,6.0,2023,12
이빨요정 비올레타: 요정나라로 돌아갈래!,TCO(주)더콘텐츠온,20231118,298,124,애니메이션,전체관람가,8.04,,5.5,2023,11
썬 오브 람세스,그린나래미디어(주),20240207,6,123,스릴러,15세이상관람가,0.0,,,2024,02
이어지는 땅,필름다빈,20240110,30,119,드라마,12세이상관람가,8.0,,5.5,2024,01
홈그라운드,영화배급협동조합 씨네소파,20231206,35,116,다큐멘터리,12세이상관람가,8.14,,6.0,2023,12
나폴레옹,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,20231206,822,115,전쟁,15세이상관람가,6.91,2.2,6.0,2023,12
수라,"스튜디오두마,미디어나무(주),스튜디오 에이드",20230621,136,110,다큐멘터리,전체관람가,,,8.0,2023,06
"여름을 향한 터널, 이별의 출구",(주)미디어캐슬,20230914,269,99,애니메이션,12세이상관람가,7.46,4.8,6.0,2023,09
에브리씽 에브리웨어 올 앳 원스,워터홀컴퍼니(주),20221012,620,98,액션,15세이상관람가,8.8,3.8,8.43,2022,10
로보카폴리 안전교실 교통편,(주)로이비쥬얼,20220919,16,83,애니메이션,전체관람가,,,,2022,09
유어 럭키 데이,주식회사 풍경소리,20240222,5,82,액션,15세이상관람가,6.33,,,2024,02
클레오의 세계,"그린나래미디어(주),(주)하이스트레인저",20240103,47,80,드라마,전체관람가,7.81,,6.67,2024,01
아쿠아맨과 로스트 킹덤,워너브러더스 코리아(주),20231220,965,78,액션,12세이상관람가,7.47,3.2,5.0,2023,12
블랙 로터스,주식회사 블루필름웍스,20240207,5,76,액션,15세이상관람가,3.5,2.6,4.0,2024,02
쏘우 X,"(주)올스타엔터테인먼트,(주)플레이그램",20231213,571,67,공포(호러),청소년관람불가,7.94,4.1,5.5,2023,12
봉신연의: 조가풍운,(주)스튜디오디에이치엘,20240124,23,66,전쟁,12세이상관람가,8.36,4.5,4.67,2024,01
킹덤 3: 운명의 불꽃,"(주)이놀미디어,(주)플레이그램",20240117,136,49,액션,15세이상관람가,7.17,4.6,5.0,2024,01
도티와 영원의 탑,(주)넥스트엔터테인먼트월드(NEW),20231227,370,48,애니메이션,전체관람가,9.81,,5.5,2023,12
약속,엠라인디스트리뷰션(주),20231101,42,47,다큐멘터리,전체관람가,9.25,,7.4,2023,11
어파이어,M&M 인터내셔널,20230913,68,47,드라마,12세이상관람가,8.02,3.8,8.43,2023,09
키리에의 노래: 디렉터스 컷,이화배컴퍼니(주),20231124,9,41,드라마,15세이상관람가,,,,2023,11
느티나무 아래,"미디어나무(주),스튜디오 에이드",20231115,13,36,다큐멘터리,전체관람가,7.92,,6.0,2023,11
서치: 데스게임,주식회사 원더스튜디오,20240118,5,34,스릴러,청소년관람불가,10.0,,5.5,2024,01
너는 내 아들,"주식회사 블루필름웍스,(주)버킷스튜디오",20230628,117,25,드라마,12세이상관람가,3.9,,,2023,06
극장판 우당탕탕 은하안전단: 진정한 용기!,(주)넥스트엔터테인먼트월드(NEW),20231130,261,20,애니메이션,전체관람가,9.13,4.1,,2023,11
파묘,(주)쇼박스,20240222,2355,7260067,미스터리,15세이상관람가,8.44,,6.0,2024,02
듄: 파트2,워너브러더스 코리아(주),20240228,1544,1617500,액션,12세이상관람가,8.22,4.6,7.15,2024,02
댓글부대,(주)에이스메이커무비웍스,20240327,1228,541058,범죄,15세이상관람가,8.98,4.4,7.5,2024,03
웡카,워너브러더스 코리아(주),20240131,1753,401512,판타지,전체관람가,7.56,,6.5,2024,01
고질라 X 콩: 뉴 엠파이어,워너브러더스 코리아(주),20240327,996,320982,액션,12세이상관람가,7.99,3.8,6.44,2024,03
극장판 스파이 패밀리 코드 : 화이트,"(주)넥스트엔터테인먼트월드(NEW),(주)대교 미디어콘텐츠사업본부",20240320,917,235008,애니메이션,12세이상관람가,7.64,4.3,5.5,2024,03
브레드이발소: 셀럽 인 베이커리타운,롯데컬처웍스(주)롯데엔터테인먼트,20240301,342,173713,애니메이션,전체관람가,7.93,4.8,6.0,2024,03
가여운 것들,월트디즈니컴퍼니코리아 유한책임회사,20240306,471,142488,드라마,청소년관람불가,8.44,,,2024,03
건국전쟁,다큐스토리,20240201,224,138922,다큐멘터리,12세이상관람가,7.69,3.4,7.44,2024,02
패스트 라이브즈,(주)씨제이이엔엠,20240306,613,115193,드라마,12세이상관람가,9.45,,,2024,03
"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",씨제이 씨지브이(CJ CGV)(주),20240214,393,70124,애니메이션,15세이상관람가,7.51,,7.6,2024,02
아이엠 티라노,"주식회사 원더스튜디오,영화사빅",20240301,229,47077,애니메이션,전체관람가,7.72,,10.0,2024,03
랜드 오브 배드,메가박스중앙(주),20240313,394,44252,액션,15세이상관람가,5.53,,5.0,2024,03
밥 말리: 원 러브,롯데컬처웍스(주)롯데엔터테인먼트,20240313,579,38585,드라마,15세이상관람가,8.32,4.3,4.67,2024,03
1980,"(주)제이앤씨미디어그룹,와이드 릴리즈(주)",20240327,522,32237,드라마,12세이상관람가,6.15,4.1,5.67,2024,03
메이 디셈버,판씨네마(주),20240313,400,30186,드라마,청소년관람불가,6.89,,5.0,2024,03
소풍,롯데컬처웍스(주)롯데엔터테인먼트,20240207,729,27369,드라마,12세이상관람가,7.32,2.4,7.43,2024,02
로봇 드림,"(주)영화사 진진,(주)하이스트레인저",20240313,114,23298,애니메이션,전체관람가,8.83,,7.25,2024,03
용감한 돌고래 벨루와 바닷속 친구들,"찬란,(주)빅브라더스",20240313,180,23121,애니메이션,전체관람가,8.94,4.7,8.0,2024,03
악은 존재하지 않는다,"그린나래미디어(주),(주)레드아이스 엔터테인먼트",20240327,149,19104,드라마,12세이상관람가,7.5,,5.67,2024,03
탐정 말로,(주)바이포엠스튜디오,20240321,183,18785,범죄,15세이상관람가,8.04,3.3,8.38,2024,03
추락의 해부,(주)스튜디오디에이치엘,20240131,236,17382,드라마,15세이상관람가,5.83,2.4,5.25,2024,01
이승윤 콘서트 도킹 : 리프트오프,"롯데컬처웍스(주)롯시플,(주)영화사 그램",20240322,66,15918,공연,전체관람가,8.45,3.5,7.73,2024,03
나이트 스윔,유니버설픽쳐스인터내셔널 코리아(유),20240320,195,15747,공포(호러),12세이상관람가,9.23,,10.0,2024,03
목스박,(주)라온컴퍼니플러스,20240320,122,15740,액션,15세이상관람가,5.6,2.4,3.67,2024,03
마담 웹,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,20240313,648,15434,액션,12세이상관람가,9.35,,3.0,2024,03
사운드 오브 프리덤,(주)넥스트엔터테인먼트월드(NEW),20240221,248,14638,범죄,15세이상관람가,6.04,2.6,3.67,2024,02
인어공주: 마법물약의 비밀,(주)박수엔터테인먼트,20240314,188,12056,애니메이션,전체관람가,9.3,4.9,4.5,2024,03
바튼 아카데미,유니버설픽쳐스인터내셔널 코리아(유),20240221,254,9641,코미디,15세이상관람가,3.35,,,2024,02
생츄어리 2 : 쿼카가 너무해,(주)팝엔터테인먼트,20240307,249,8743,애니메이션,전체관람가,8.45,4.6,8.38,2024,03
왓츠 러브,(주)디스테이션,20240320,188,8412,멜로/로맨스,15세이상관람가,10.0,,5.5,2024,03
대결! 애니메이션,"(주)블레이드이엔티,(주)블루라벨픽쳐스",20240306,103,7969,드라마,12세이상관람가,6.76,3.4,6.0,2024,03
괴물,(주)넥스트엔터테인먼트월드(NEW),20231129,647,7901,드라마,12세이상관람가,8.08,,6.67,2023,11
원 앤 온리,(주)스튜디오디에이치엘,20240313,112,7568,드라마,12세이상관람가,9.03,4.6,8.0,2024,03
기적의 시작,퓨어웨이픽쳐스,20240222,137,7419,다큐멘터리,12세이상관람가,8.27,,5.5,2024,02
화녀,"와이드 릴리즈(주),(주)제이앤씨미디어그룹",20240314,77,7075,스릴러,청소년관람불가,8.41,,,2024,03
막걸리가 알려줄거야,"판씨네마(주),(주)홈초이스",20240228,73,6477,드라마,전체관람가,3.74,,7.9,2024,02
월레스와 그로밋 더 클래식 컬렉션,CGV ICECON,20240221,52,6261,애니메이션,전체관람가,7.83,,7.0,2024,02
돌핀,(주)마노엔터테인먼트,20240313,67,5354,드라마,12세이상관람가,8.82,,,2024,03
극장판 츠루네: 시작의 한 발,(주)라이크콘텐츠,20240221,119,4486,애니메이션,전체관람가,8.06,,5.25,2024,02
시민덕희,(주)쇼박스,20240124,1272,4284,드라마,15세이상관람가,8.52,,6.0,2024,01
에픽하이 20 더 무비,"CGV ICECON,(주)플레이그램",20240320,54,4274,공연,12세이상관람가,8.3,,5.67,2024,03
드림쏭3,"주식회사 원더스튜디오,영화사빅",20240328,238,4272,애니메이션,전체관람가,8.82,,,2024,03
아기상어 극장판: 사이렌 스톤의 비밀,(주)넥스트엔터테인먼트월드(NEW),20240207,578,3847,애니메이션,전체관람가,7.65,,6.0,2024,02
당신이 잠든 사이,트윈플러스파트너스(주),20240320,118,3813,미스터리,12세이상관람가,8.0,,6.0,2024,03
래빗스쿨 2: 부활절 대소동,"(주)버킷스튜디오,주식회사 블루필름웍스",20240327,126,3053,애니메이션,전체관람가,8.0,,4.0,2024,03
오키쿠와 세계,(주)엣나인필름,20240221,36,2995,드라마,12세이상관람가,7.7,,4.0,2024,02
뒤주,(주)파이브데이,20240328,52,2596,공포(호러),15세이상관람가,7.63,,8.5,2024,03
갓랜드,M&M 인터내셔널,20240228,24,2355,드라마,15세이상관람가,3.51,,,2024,02
극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,메가박스중앙(주),20231019,78,2355,애니메이션,전체관람가,7.59,3.4,7.67,2023,10
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,(주)씨제이이엔엠,20231222,883,2301,애니메이션,전체관람가,,,,2023,12
서울의 봄,플러스엠 엔터테인먼트,20231122,2328,1965,드라마,12세이상관람가,7.91,4.5,6.0,2023,11
더 퍼스트 슬램덩크,(주)넥스트엔터테인먼트월드(NEW),20230104,1023,1715,애니메이션,12세이상관람가,9.49,4.6,6.67,2023,01
여기는 아미코,주식회사 슈아픽처스,20240228,40,1637,가족,전체관람가,9.25,4.5,7.67,2024,02
조용한 이주,필름다빈,20240320,27,1543,드라마,12세이상관람가,7.3,,6.75,2024,03
길위에 김대중,"(주)아이오케이컴퍼니,(주)명필름,(주)시네마6411",20240110,414,1504,다큐멘터리,12세이상관람가,8.0,,7.0,2024,01
비욘드 유토피아,"(주)홈초이스,(주)드림팩트엔터테인먼트,(주)스마일이엔티",20240131,158,1449,다큐멘터리,12세이상관람가,9.64,,6.0,2024,01
플랜 75,찬란,20240207,50,1437,드라마,15세이상관람가,9.44,,8.0,2024,02
부활 그 소망,파이오니아21,20240307,26,1093,다큐멘터리,전체관람가,7.52,,6.71,2024,03
그대들은 어떻게 살 것인가,메가박스중앙(주),20231025,1733,1001,애니메이션,전체관람가,10.0,,,2023,10
극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,메가박스중앙(주),20231019,79,987,애니메이션,전체관람가,6.98,3.8,7.9,2023,10
3일의 휴가,(주)쇼박스,20231206,863,939,판타지,12세이상관람가,,,,2023,12
잠행,(주)이놀미디어,20240327,32,840,액션,15세이상관람가,8.12,,5.33,2024,03
레이징 그레이스,(주)이놀미디어,20240313,28,812,스릴러,15세이상관람가,7.55,,4.5,2024,03
류이치 사카모토: 오퍼스,"(주)엣나인필름,메가박스중앙(주)",20231227,251,783,공연,전체관람가,5.71,,6.0,2023,12
청춘 돼지는 책가방 소녀의 꿈을 꾸지 않는다,(주)애니플러스,20240201,84,747,애니메이션,12세이상관람가,8.63,,7.0,2024,02
다시 김대중-함께 합시다,주식회사 블루필름웍스,20240328,58,700,다큐멘터리,12세이상관람가,9.2,,,2024,03
엘리멘탈,월트디즈니컴퍼니코리아 유한책임회사,20230614,1251,640,애니메이션,전체관람가,4.33,,,2023,06
세월: 라이프 고즈 온,영화배급협동조합 씨네소파,20240327,25,636,다큐멘터리,전체관람가,8.92,,7.29,2024,03
리볼버 릴리,와이드 릴리즈(주),20240321,31,540,액션,15세이상관람가,8.43,,6.67,2024,03
도그데이즈,(주)씨제이이엔엠,20240207,847,530,드라마,12세이상관람가,6.5,,3.67,2024,02
벗어날 탈 脫,영화배급협동조합 씨네소파,20240221,14,505,미스터리,15세이상관람가,7.88,,5.33,2024,02
크레센도 반 클라이번 콩쿠르 실황,오드,20240131,65,499,공연,전체관람가,6.77,,6.67,2024,01
나의 올드 오크,(주)영화사 진진,20240117,83,477,드라마,15세이상관람가,9.35,,,2024,01
에스파: 마이 퍼스트 페이지,"롯데컬처웍스(주)롯시플,(주)영화사 그램",20240214,68,432,공연,전체관람가,7.67,4.4,7.5,2024,02
노량: 죽음의 바다,"롯데컬처웍스(주)롯데엔터테인먼트,(주)에이스메이커무비웍스",20231220,2196,429,사극,12세이상관람가,7.68,,10.0,2023,12
다운폴,(주)피터팬픽쳐스,20240327,8,415,전쟁,청소년관람불가,8.24,,6.6,2024,03
크레센도,오드,20231220,81,405,다큐멘터리,전체관람가,8.24,4.8,7.79,2023,12
DMZ 동물 특공대,(주)박수엔터테인먼트,20240214,201,385,애니메이션,전체관람가,8.7,,5.0,2024,02
우견니,"오드,홀리가든",20240214,143,314,멜로/로맨스,12세이상관람가,6.92,,6.5,2024,02
벙커 게임,스튜디오 에이드,20240306,19,301,공포(호러),15세이상관람가,7.16,,5.0,2024,03
스노우 퍼핀즈,(주)팝엔터테인먼트,20240215,315,290,애니메이션,전체관람가,4.23,,3.0,2024,02
어른 김장하,(주)시네마달,20231115,98,268,다큐멘터리,전체관람가,8.35,,1.0,2023,11
티처스 라운지,(주)스튜디오디에이치엘,20231227,29,253,드라마,12세이상관람가,9.5,,6.0,2023,12
너와 나,"주식회사 필름영,그린나래미디어(주)",20231025,76,241,드라마,12세이상관람가,7.7,3.8,7.25,2023,10
마에스트로 번스타인,씨제이 씨지브이(CJ CGV)(주),20231206,61,241,드라마,15세이상관람가,8.77,,,2023,12
극장판 후르츠 바스켓: 프렐류드,(주)미디어캐슬,20240301,5,233,애니메이션,12세이상관람가,7.04,3.5,8.5,2024,03
장인과 사위,주식회사 제이씨엔터웍스,20240215,49,226,코미디,12세이상관람가,10.0,,,2024,02
"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",와이드 릴리즈(주),20231227,215,222,애니메이션,전체관람가,5.22,,,2023,12
에브리씽 에브리웨어 올 앳 원스,워터홀컴퍼니(주),20221012,620,219,액션,15세이상관람가,8.04,,,2022,10
위시,월트디즈니컴퍼니코리아 유한책임회사,20240103,1421,195,애니메이션,전체관람가,8.8,3.8,8.43,2024,01
라이즈,(주)무비다이브,20240117,68,194,드라마,15세이상관람가,7.13,2.8,5.5,2024,01
